成功连接到数据库: tk @ localhost:3306
[持久化存储] 数据库连接成功
成功连接到数据库: tk @ localhost:3306
[持久化存储] 状态存储：数据库连接成功
成功连接到数据库: tk @ localhost:3306
[持久化存储] 数据库连接成功
[持久化存储] 数据库连接成功，使用数据库存储
[API] 数据库连接成功，将支持历史对话加载和用户认证
[API] 验证码管理器初始化成功
成功连接到数据库: tk @ localhost:3306
[违禁词] 成功加载 5 个违禁词到Trie树
=== 智炬五维协同学习系统 API 服务器 ===
正在启动服务器...
INFO:     Started server process [34124]
INFO:     Waiting for application startup.
[API] 应用启动中...
[API] 从数据库加载会话: fdc498c468e6, 4 条消息
[API] 从数据库加载会话: 89e58e4dda32, 9 条消息
[API] 从数据库加载会话: 4bcbd88a0d4f, 4 条消息
[API] 从数据库加载会话: 7020f7b9c31d, 4 条消息
[API] 从数据库加载会话: b3eb3e52a644, 6 条消息
[API] 从数据库加载会话: e4a856e10426, 6 条消息
[API] 从数据库加载会话: 3dd0bafbe06d, 9 条消息
[API] 从数据库加载会话: 1ee5ab69fdbe, 7 条消息
[API] 从数据库加载会话: aaaab083a270, 6 条消息
[API] 从数据库加载会话: 6f4fc7a74681, 9 条消息
[API] 从数据库加载了 10 个历史对话

==================================================
[OK] 服务器启动成功！
==================================================
API地址:  http://localhost:8000
API文档:  http://localhost:8000/docs
WebSocket: ws://localhost:8000/ws/chat/{chat_id}
==================================================

INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:     127.0.0.1:58639 - "GET /api/public/chats?limit=20 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59980 - "GET /api/chats?limit=50 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59980 - "GET /api/chats?limit=50 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59980 - "OPTIONS /api/chats/fdc498c468e6/messages?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:59980 - "GET /api/chats/fdc498c468e6/messages?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:53081 - "WebSocket /ws/chat/fdc498c468e6" [accepted]
INFO:     connection open
INFO:     127.0.0.1:59980 - "POST /api/chats/fdc498c468e6/continue HTTP/1.1" 200 OK
[API] 组织者路由决策: next_speaker=实践者, task_hint=分享一些具体的学习Python的方法，包括推荐的学习资源、练习项目，以及如何开始你的第一个Pytho...
[API] 智能体映射: 实践者 -> practitioner
[API] 开始流式生成: speaker=实践者, message_id=fde45f522dcc4285b0efff073217daf5, author_id=practitioner
[API] 调用流式智能体: next_speaker=实践者
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='既然'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='你对'...
[API-继续对话] 流式输出: type=stream_chunk, length=6, preview='Python'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='感兴趣'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='那'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='我们就'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='聊聊'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='怎么'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='开始'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='。'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='最'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='实际'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='的问题'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='是'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='学习'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='编程'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='语言'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='需要'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='时间和'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='实践'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='。'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='首先'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='你可以'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='从'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='一些'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='在线'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='课程'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='开始'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='比如'...
[API-继续对话] 流式输出: type=stream_chunk, length=6, preview='Course'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='ra'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='或者'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='ed'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='X'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='上'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='都有'...
[API-继续对话] 流式输出: type=stream_chunk, length=6, preview='Python'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='的'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='入门'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='课程'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='这些'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='课程'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='通常会'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='从'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='基础'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='语法'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='讲'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='起'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='带你'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='一步步'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='入门'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='。'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='同时'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='我'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='推荐'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='你'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='下载'...
[API-继续对话] 流式输出: type=stream_chunk, length=6, preview='Python'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='的'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='官方'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='文档'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='它'...
[API-继续对话] 流式输出: type=stream_chunk, length=4, preview='是最好的'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='学习'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='资源'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='之一'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='任何'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='时候'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='遇到'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='问题'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='都可以'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='查阅'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='。

'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='接下来'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='动手'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='实践'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='是'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='学习'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='编程'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='的关键'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='。'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='你可以'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='从'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='编写'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='一个'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='简单的'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='“'...
[API-继续对话] 流式输出: type=stream_chunk, length=5, preview='Hello'...
[API-继续对话] 流式输出: type=stream_chunk, length=6, preview=' World'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='”'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='程序'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='开始'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='这'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='不仅是'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='编程'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='的传统'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='也是'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='检验'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='你的'...
[API-继续对话] 流式输出: type=stream_chunk, length=6, preview='Python'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='环境'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='是否'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='安装'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='成功的'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='好'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='方法'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='。'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='具体'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='来说'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=3, preview='你可以'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='打开'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='一个'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='文本'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='编辑'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='器'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='比如'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='V'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='S'...
[API-继续对话] 流式输出: type=stream_chunk, length=5, preview=' Code'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='或者'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='Py'...
[API-继续对话] 流式输出: type=stream_chunk, length=4, preview='Char'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='m'...
[API-继续对话] 流式输出: type=stream_chunk, length=1, preview='，'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='然后'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='写下'...
[API-继续对话] 流式输出: type=stream_chunk, length=2, preview='以下'...
